id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"169","Conviction","2010","Nov","Biography","R","107","English","Tony Goldwyn","Pamela Gray","Hilary Swank","61","72","33720","12500000","6783129"
"170","Sex and the City 2","2010","May","Comedy","R","146","English","Michael Patrick King","Michael Patrick King","Sarah Jessica Parker","27","43","57594","100000000","95328937"
"171","The Dry Land","2010","Jan","Drama","R","92","English","Ryan Piers Williams","Ryan Piers Williams","Ryan O'Nan","47","57","457","1000000","7351"
"172","Side Effects","2013","Feb","Crime","R","106","English","Steven Soderbergh","Scott Z. Burns","Rooney Mara","75","71","143312","30000000","32154410"
"173","Madea's Witness Protection","2012","Jun","Comedy","PG-13","114","English","Tyler Perry","Tyler Perry","Tyler Perry","42","48","7196","20000000","65623128"
"174","Trance","2013","Mar","Crime","R","101","English","Danny Boyle","Joe Ahearne","James McAvoy","61","70","89467","20000000","2319187"
"175","The Company Men","2010","Feb","Drama","R","104","English","John Wells","John Wells","Ben Affleck","69","68","35743","15000000","4439063"
"176","Turbo","2013","Jul","Animation","PG","96","English","David Soren","Darren Lemke","Ryan Reynolds","58","65","59414","135000000","83024900"
"177","Passion Play","2010","N/A","Drama","R","94","English","Mitch Glazer","Mitch Glazer","Mickey Rourke","22","50","7135","8000000","3669"
"178","The Last Song","2010","Mar","Drama","PG","107","English","Julie Anne Robinson","Nicholas Sparks","Miley Cyrus","33","58","59901","20000000","62950384"
"179","Casino Jack","2010","Jan","Biography","R","108","English","George Hickenlooper","Norman Snider","Kevin Spacey","51","62","14458","15000000","1039869"
"180","Walking with Dinosaurs 3D","2013","Dec","Animation","PG","87","English","Barry Cook, Neil Nightingale","John Collee","Charlie Rowe","37","52","8588","80000000","36073232"
"181","Our Idiot Brother","2011","Aug","Comedy","R","90","English","Jesse Peretz","Jesse Peretz","Paul Rudd","60","64","73150","5000000","24814830"
"182","Planes: Fire & Rescue","2014","Jul","Animation","PG","83","English","Roberts Gannaway","Roberts Gannaway","Dane Cook","48","60","11710","50000000","58646919"
"183","Megamind","2010","Nov","Animation","PG","95","English","Tom McGrath","Alan Schoolcraft","Will Ferrell","63","73","165798","130000000","148415853"
"184","Friends with Benefits","2011","Jul","Comedy","R","109","English","Will Gluck","Keith Merryman","Justin Timberlake","63","66","260096","35000000","55802754"
"185","Red Riding Hood","2011","Mar","Fantasy","PG-13","100","English","Catherine Hardwicke","David Leslie Johnson","Amanda Seyfried","29","54","88288","42000000","37652565"
"186","Puss in Boots","2011","Oct","Animation","PG","90","English","Chris Miller","Charles Perrault","Antonio Banderas","65","67","110194","130000000","149234747"
"187","The Muppets","2011","Nov","Adventure","PG","103","English","James Bobin","Jason Segel","Jason Segel","75","72","73789","45000000","88625922"
"188","The Call","2013","Mar","Crime","R","94","English","Brad Anderson","Richard D'Ovidio","Halle Berry","51","67","85194","13000000","51872378"
"189","Lockout","2012","Apr","Action","PG-13","95","English","James Mather, Stephen St. Leger","Stephen St. Leger","Guy Pearce","48","61","79953","20000000","14326864"
"190","What to Expect When You're Expecting","2012","May","Comedy","PG-13","110","English","Kirk Jones","Shauna Cross","Cameron Diaz","41","57","55598","40000000","41102171"
"191","Act of Valor","2012","Feb","Action","R","110","English","Mike McCoy, Scott Waugh","Kurt Johnstad","Rorke Denver","40","65","56636","12000000","20502"
"192","The Fault in Our Stars","2014","Jun","Drama","PG-13","126","English","Josh Boone","Scott Neustadter","Shailene Woodley","69","79","232083","12000000","124853062"
"193","Life as We Know It","2010","Oct","Comedy","PG-13","114","English","Greg Berlanti","Ian Deitchman","Katherine Heigl","39","66","91188","38000000","53358964"
"194","Annie","2014","Jun","Comedy","PG","127","English","John Huston","Carol Sobieski","Albert Finney","39","65","29539","65000000","85911262"
"195","Maggie","2015","May","Drama","PG-13","95","English","Henry Hobson","John Scott 3","Arnold Schwarzenegger","52","56","26541","8500000","187112"
"196","Thor: The Dark World","2013","Nov","Action","PG-13","112","English","Alan Taylor","Christopher Yost","Chris Hemsworth","54","71","383816","170000000","206362140"
"197","Extraordinary Measures","2010","Jan","Drama","PG","106","English","Tom Vaughan","Robert Nelson Jacobs","Brendan Fraser","45","65","14008","31000000","11854694"
"198","Jeff, Who Lives at Home","2011","May","Comedy","R","83","English","Jay Duplass, Mark Duplass","Jay Duplass","Jason Segel","60","65","55018","10000000","4244155"
"199","The Last Witch Hunter","2015","Oct","Action","PG-13","106","English","Breck Eisner","Cory Goodman","Vin Diesel","34","60","40628","75000000","27356090"
"200","L!fe Happens","2011","Apr","Comedy","R","100","English","Kat Coiro","Kat Coiro","Krysten Ritter","44","56","5710","930000","30905"
