The Lego Movie
I just can’t resist double-dipping on THE LEGO MOVIE because steelbook and the mellifluous tones of @FilmCritHULK https://t.co/hHhFVV3Bxw
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
"@Loki_Lego @recordedpicture @HighRise_movie Welcome to the high life, Loki."
On to the Lego movie. Location update: middle of nowhere somewhere below the bridge. #everythingisawesome https://t.co/wcInsje5r9
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
"RT @troyesivan: Praying that if I see the LEGO Movie with @tyleroakley, he will:

a) shut up about it
b) never call it the 'slaygo' movie a…"
@TanookiChallis well. If the pc can handle running a 1080p movie. I don't see any big problem. Transcoding may take forever.
"Acabo de ver The Lego Movie @HurtadoDaniell, muy tú, jejeje."
@GizziErskine The Lego Movie advised me otherwise! 😮
@SlimHitterDrew 😂 I'm tired of the Lego movie 🙄
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
"We are only allowed to watch U rated films at Guides tonight so I've got : cloudy with a chance of meatballs 1&amp;2, the Lego movie, &amp; 2 others"
RT @Loki_Lego: Day 4 on my @HighRise_movie tour &amp; I met the magnificent @mr_wheatley https://t.co/22iPxC4Lgy #HighRise https://t.co/K2MlPlc…
The Lego Movie https://t.co/E1Fly1ij6c #movieREVIEW
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
Test of the water effects from The Lego Movie https://t.co/63NDRkiTmP (https://t.co/EDMAqPUeKb)
"RT @fredflunk: @ivancorless @SeanMoncrieff 
The LEGO of it movie
#SoloMovies"
"RT @fredflunk: @ivancorless @SeanMoncrieff 
The LEGO of it movie
#SoloMovies"
"@ivancorless @SeanMoncrieff 
The LEGO of it movie
#SoloMovies"
"@CineEn10puntos con esta cinta tuve la misma reacción que con ""The Lego Movie"" no esperaba mucho de ella pero me sorprendió. ¿Ya la viste?"
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
I won the Lets Get Craaazzzyyyy achievement in The LEGO Movie Videogame for 21 #TrueAchievement pts - https://t.co/QvygpKhfp4
The Lego Movie Emmet's Construct-o-Mech 70814 MISB - Bid Now! Only $60.0 https://t.co/HRCLaDa0wu https://t.co/KTeMKeuVdC
The Lego Movie Emmet's Construct-o-Mech 70814 MISB - Bid Now! Only $60.0 https://t.co/K1gjS2Jjxk https://t.co/PTBw9kQBLz
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
The Lego Movie Emmet's Construct-o-Mech 70814 MISB - Bid Now! Only $60.0 https://t.co/nzqOX4a0qp https://t.co/Dk8gPhuuTh
The Lego Movie Emmet's Construct-o-Mech 70814 MISB - Bid Now! Only $60.0 https://t.co/05oCcFxGzk https://t.co/SWnQX6FYLI
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
RT @Loki_Lego: In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
"RT @TheSpencerSmith: @TheLEGOMovie Not only have I seen it, I worship it!! I can't wait to see the whole movie again alone in my house whil…"
In UK cinemas today #HighRise See the @HighRise_movie trailer in LEGO! https://t.co/lN4BN2W0Fx https://t.co/QMmgXp0IhA
"RT @TheSpencerSmith: @TheLEGOMovie Not only have I seen it, I worship it!! I can't wait to see the whole movie again alone in my house whil…"
"RT @JonThiele1: @UltgarageBill Well I must admit, ""everything is awesome"" was a very catchy song in The Lego Movie"
"Confirmed that the first trailer for ""The Lego Batman Movie"" will be in front of #BatmanvsSuperman next week. Clocks in at 1:24."
RT @Nico_Venecia: Trump is the direct representation of President Business from the Lego Movie.
@mikehr09 I'll have to check it out! Can't wait for the next @starwars @LEGO_Group movie!
Xbox One 500GB Console – The LEGO Movie Videogame Bundle https://t.co/62ClYVylDc
"Everything Is AWESOME!!! -- The LEGO® Movie -- Te…: https://t.co/4KYgWS17XW

=))))))))))))"
Fanta's marketing team also enjoyed the Lego movie 🙄 🙄
I really enjoyed The Lego Movie
RT @__bandooo_: Yall lit we watching the lego movie 😭 https://t.co/2esYf0bOuN
Yall lit we watching the lego movie 😭 https://t.co/2esYf0bOuN
Lego lego🚣 ★ The LEGO Movie — https://t.co/cKxVFz2zJL
"Xbox One 500GB Console - The LEGO Movie Videogame Bundle https://t.co/RuJ9pNrxLF
#home #decor https://t.co/Ayj0O5GhAx"
RT @thepianomarket: Everything Is Awesome - #Piano Cover Version - The #LEGO movie song - Tegan and Sara https://t.co/Z5mwdrzBY0
RT @thepianomarket: Everything Is Awesome - #Piano Cover Version - The #LEGO movie song - Tegan and Sara https://t.co/Z5mwdrzBY0
RT @thepianomarket: Everything Is Awesome - #Piano Cover Version - The #LEGO movie song - Tegan and Sara https://t.co/Z5mwdrzBY0
RT @CapitolHorsham: Come along for some Family Film Fun at 10.30am tomorrow!  The Lego Movie (U) Tix just £3.  https://t.co/bpuPFnFUEe http…
Everything Is Awesome - #Piano Cover Version - The #LEGO movie song - Tegan and Sara https://t.co/Z5mwdrzBY0
"RT @powassanlibrary: YUP....it is LEGO DAY!  
Head in at 1pm today!
Everyone welcome. https://t.co/e0LNQbH3ju"
RT @CapitolHorsham: Come along for some Family Film Fun at 10.30am tomorrow!  The Lego Movie (U) Tix just £3.  https://t.co/bpuPFnFUEe http…
"RT @AnneBillson: Alessandro Alessandroni, composer on LA PLUS LONGUE NUIT DU DIABLE + spaghetti westerns, is credited as ""score whistler"" o…"
"Alessandro Alessandroni, composer on LA PLUS LONGUE NUIT DU DIABLE + spaghetti westerns, is credited as ""score whistler"" on THE LEGO MOVIE."
"RT @TheSpencerSmith: @TheLEGOMovie Not only have I seen it, I worship it!! I can't wait to see the whole movie again alone in my house whil…"
"RT @TheSpencerSmith: @TheLEGOMovie Not only have I seen it, I worship it!! I can't wait to see the whole movie again alone in my house whil…"
"@UltgarageBill Well I must admit, ""everything is awesome"" was a very catchy song in The Lego Movie"
"YUP....it is LEGO DAY!  
Head in at 1pm today!
Everyone welcome. https://t.co/e0LNQbH3ju"
"The Lego Movie HMV Exclusive Steelbook.
Pre-Order Now Fo 23rd May
Forgot Ta Post Last Week
#Steelbook @hmvtweets https://t.co/6DnNch609n"
"RT @KrisStanzak: Box Office: 'Zootopia' Tops 'LEGO Movie,' 'Miracles From Heaven' Snags $1.9M, 'Deadpool... https://t.co/Yw5eAkqYIR https:/…"
"RT @TaraaFerguson: @TheBigBang_ that's not fair, you know the only knowledge I have of Green Lantern came from Lego Movie. https://t.co/uvg…"
"RT @KrisStanzak: Box Office: 'Zootopia' Tops 'LEGO Movie,' 'Miracles From Heaven' Snags $1.9M, 'Deadpool... https://t.co/Yw5eAkqYIR https:/…"
I liked a @YouTube video from @wisecrack https://t.co/thQ1xEY4Kf The LEGO Movie's Hidden Meaning – Earthling Cinema
"@TheBigBang_ that's not fair, you know the only knowledge I have of Green Lantern came from Lego Movie. https://t.co/uvgGn36Aaj"
"#LEGO #Film 5004356 The LEGO Movie Blu-ray 60% #sparen ab 7,14 EUR hier: https://t.co/2A4gjPm26H https://t.co/itQa9rkvNj"
In UK cinemas today! See the incredible #HighRise @HighRise_movie https://t.co/QnfRbEYwVV
