Tammy
"Click here to watch the movie: https://t.co/M4bFL3Suje
Classy dyke ladies Tori Black and Tammy make out wearing ex… https://t.co/6L5qtQVXOj"
RT @_braylyn: I'm calling this now. Paxtyn's life is going to be a remake of the movie Tammy. Her bff is her grandma and she'll rob for app…
RT @_BitchyBitchLex: this movie tammy got me weak😭😭😭
this movie tammy got me weak😭😭😭
@TIAJose redbone is not the very first song of the movie.
The first song in Guardians of the Galaxy is the best song of the whole movie
Reminds me of my favorite Star Trek movie https://t.co/aR3Uve66By
https://t.co/WhjeDh7T9V Tammy Full Movie #xvideocom #myfirstTweet
Tammy the movie is so damn funny 😂😂
RT @_braylyn: I'm calling this now. Paxtyn's life is going to be a remake of the movie Tammy. Her bff is her grandma and she'll rob for app…
