id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross,sentiment
234,Me and Earl and the Dying Girl,2015,Jul,Comedy,PG-13,105,English,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann,74,78,"63,167",8000000,6743776,33.0
235,Foxcatcher,2014,Jan,Biography,R,134,English,Bennett Miller,E. Max Frye,Steve Carell,81,70,"100,844",24000000,12096300,13.0
236,Divergent,2014,Mar,Adventure,PG-13,139,English,Neil Burger,Evan Daugherty,Shailene Woodley,48,68,"321,438",85000000,150947895,37.0
237,RoboCop,2014,Feb,Action,PG-13,117,English,José Padilha,Joshua Zetumer,Joel Kinnaman,52,62,"177,042",100000000,58607007,24.0
238,Into the Woods,2014,Dec,Adventure,PG,125,English,Rob Marshall,James Lapine,Anna Kendrick,69,60,"95,095",50000000,128002372,27.0
239,Transformers: Age of Extinction,2014,Jun,Action,PG-13,165,English,Michael Bay,Ehren Kruger,Mark Wahlberg,32,57,"231,442",210000000,245439076,14.0
240,The Duke of Burgundy,2014,Jan,Drama,UNRATED,104,English,Peter Strickland,Peter Strickland,Chiara D'Anna,87,67,"6,107",1000000,32630,57.0
241,The Other Woman,2014,Apr,Comedy,PG-13,109,English,Nick Cassavetes,Melissa Stack,Cameron Diaz,39,60,"99,889",40000000,83892218,18.0
242,99 Homes,2014,Oct,Drama,R,112,English,Ramin Bahrani,Ramin Bahrani,Michael Shannon,76,72,"9,370",5000000,1410915,55.0
243,By the Sea,2015,Dec,Drama,R,122,English,Angelina Jolie,Angelina Jolie,Brad Pitt,44,52,"4,534",10000000,531009,13.0
244,The Rover,2014,Jun,Crime,R,103,English,David Michôd,Joel Edgerton,Guy Pearce,64,64,"32,458",12250000,1089150,31.0
245,Non-Stop,2014,Feb,Action,PG-13,106,English,Jaume Collet-Serra,John W. Richardson,Liam Neeson,56,70,"191,961",50000000,92168600,25.0
246,The One I Love,2014,Aug,Comedy,R,91,English,Charlie McDowell,Justin Lader,Mark Duplass,66,71,"21,159",100000,500689,33.0
247,Little Boy,2015,Apr,Drama,PG-13,106,English,Alejandro Monteverde,Alejandro Monteverde,Ted Levine,30,74,"13,768",30000000,6420319,-3.0
248,Plan B,2014,May,Comedy,NOT RATED,103,Spanish,Marco Berger,Marco Berger,Manuel Vignau,N/A,72,"2,754",50000,5000,24.0
249,Ted 2,2015,Jun,Comedy,R,115,English,Seth MacFarlane,Seth MacFarlane,Mark Wahlberg,48,64,"98,958",68000000,81257500,33.0
